elapsedTime,questionType,question,expectedAnswer,Answer,isCorrect
362,0,t,,,
363,0,h,,,
391,0,H,,,
363,0,B,,,
376,0,F,,,
366,0,E,,,
434,0,G,,,
370,0,t,,,
358,0,P,,,
355,0,H,,,
349,0,F,,,
327,0,M,,,
360,0,h,,,
355,0,e,,,
120,0,M,,,
390,0,A,,,
332,0,m,,,
392,0,R,,,
374,0,t,,,
394,0,p,,,
373,0,t,,,
356,0,G,,,
329,0,P,,,
386,0,F,,,
360,0,G,,,
374,0,t,,,
372,0,T,,,
368,0,E,,,
388,0,f,,,
388,0,a,,,
434,0,f,,,
379,0,h,,,
384,0,G,,,
355,0,T,,,
391,0,f,,,
372,0,f,,,
401,0,A,,,
337,0,B,,,
379,0,a,,,
358,0,R,,,
372,0,e,,,
390,0,b,,,
383,0,P,,,
377,0,r,,,
245,0,a,,,
339,0,a,,,
375,0,g,,,
380,0,e,,,
336,0,H,,,
376,0,M,,,
406,0,T,,,
411,0,t,,,
374,0,F,,,
430,0,t,,,
448,0,p,,,
405,0,a,,,
403,0,T,,,
392,0,r,,,
409,0,B,,,
343,0,e,,,
402,0,b,,,
413,0,f,,,
364,0,H,,,
383,0,e,,,
334,0,f,,,
378,0,m,,,
355,0,F,,,
357,0,p,,,
378,0,G,,,
369,0,H,,,
380,0,h,,,
377,0,t,,,
541,0,f,,,
354,0,a,,,
389,0,t,,,
382,0,E,,,
365,0,r,,,
364,0,g,,,
394,0,e,,,
462,0,r,,,
369,0,h,,,
385,0,H,,,
529,0,H,,,
370,0,P,,,
364,0,T,,,
378,0,g,,,
411,0,h,,,
497,0,g,,,
402,0,h,,,
361,0,H,,,
388,0,g,,,
388,0,b,,,
344,0,e,,,
348,0,h,,,
402,0,a,,,
358,0,M,,,
363,0,H,,,
383,0,E,,,
385,0,p,,,
360,0,h,,,
