"elapsedTime","questionType","question","expectedAnswer","Answer","isCorrect"
611,1,"N N",true,true,true
594,1,"M M",true,true,true
655,1,"e e",true,true,true
884,1,"q l",false,false,true
602,1,"g Q",false,false,true
579,1,"g g",true,false,false
871,1,"D t",false,false,true
731,1,"L L",true,true,true
650,1,"t t",true,true,true
655,1,"B B",true,true,true
659,1,"m m",true,true,true
607,1,"T T",true,true,true
547,1,"e e",true,true,true
608,1,"h h",true,true,true
750,1,"G T",false,false,true
737,1,"n T",false,false,true
633,1,"G F",false,false,true
685,1,"n t",false,false,true
714,1,"L b",false,false,true
689,1,"D D",true,true,true
736,1,"b b",true,true,true
704,1,"T f",false,false,true
631,1,"b b",true,true,true
693,1,"b b",true,true,true
617,1,"h e",false,true,false
662,1,"e E",false,false,true
848,1,"t l",false,false,true
687,1,"e e",true,true,true
640,1,"D D",true,true,true
640,1,"r M",false,false,true
667,1,"F h",false,false,true
573,1,"M M",true,true,true
651,1,"T T",true,false,false
677,1,"F F",true,true,true
698,1,"h f",false,false,true
567,1,"g g",true,true,true
581,1,"p n",false,true,false
675,1,"a a",true,true,true
656,1,"a a",true,true,true
818,1,"H R",false,false,true
719,1,"e L",false,false,true
631,1,"p p",true,true,true
900,1,"p n",false,false,true
693,1,"h h",true,true,true
622,1,"Q h",false,false,true
632,1,"f f",true,true,true
555,1,"q A",false,false,true
611,1,"t t",true,true,true
699,1,"G G",true,true,true
664,1,"g n",false,false,true
735,1,"r a",false,false,true
663,1,"F R",false,false,true
522,1,"e e",true,true,true
794,1,"a G",false,false,true
617,1,"M M",true,true,true
541,1,"H H",true,true,true
520,1,"D D",true,false,false
671,1,"G A",false,false,true
595,1,"d N",false,false,true
708,1,"H D",false,false,true
561,1,"T T",true,true,true
615,1,"L b",false,false,true
648,1,"H H",true,true,true
599,1,"L L",true,true,true
592,1,"P P",true,false,false
1043,1,"H g",false,false,true
882,1,"G G",true,true,true
622,1,"G G",false,true,false
598,1,"M M",true,true,true
648,1,"E H",false,false,true
965,1,"l l",true,true,true
644,1,"n L",false,false,true
680,1,"E H",false,false,true
649,1,"Q Q",true,true,true
604,1,"h P",false,false,true
672,1,"P F",false,false,true
631,1,"e e",true,true,true
660,1,"m m",true,true,true
644,1,"D m",false,false,true
528,1,"h q",false,false,true
566,1,"P P",true,false,false
740,1,"g g",true,true,true
670,1,"f L",false,false,true
656,1,"G A",false,true,false
709,1,"N D",false,false,true
710,1,"E E",true,true,true
569,1,"h g",false,false,true
718,1,"q q",true,true,true
891,1,"R R",true,true,true
645,1,"P n",false,false,true
852,1,"L g",false,true,false
697,1,"E E",true,false,false
770,1,"h P",false,false,true
1051,1,"M Q",false,false,true
714,1,"q q",true,true,true
667,1,"H r",false,false,true
654,1,"F F",true,true,true
687,1,"d b",false,false,true
712,1,"T Q",false,false,true
703,1,"M M",true,true,true
738,1,"E R",false,false,true
648,1,"e e",true,true,true
597,1,"N A",false,false,true
717,1,"f f",true,true,true
816,1,"B E",false,false,true
686,1,"r L",false,false,true
641,1,"f L",false,false,true
626,1,"B L",false,false,true
572,1,"h b",false,false,true
554,1,"t t",true,false,false
638,1,"h G",false,false,true
899,1,"q T",false,false,true
625,1,"D M",false,false,true
601,1,"G t",false,false,true
642,1,"l g",false,false,true
572,1,"N N",true,true,true
482,1,"A A",true,true,true
630,1,"G G",true,true,true
694,1,"d r",false,false,true
729,1,"l q",false,false,true
640,1,"L L",true,true,true
751,1,"l l",true,true,true
762,1,"R R",true,true,true
696,1,"Q Q",true,true,true
645,1,"f n",false,false,true
677,1,"m m",true,true,true
546,1,"h h",true,true,true
780,1,"L G",false,false,true
524,1,"F F",true,true,true
663,1,"R R",true,true,true
658,1,"f l",false,false,true
802,1,"T h",false,false,true
665,1,"H H",true,true,true
656,1,"D d",false,false,true
972,1,"M e",false,false,true
901,1,"N g",false,false,true
636,1,"a B",false,false,true
672,1,"h h",true,true,true
683,1,"l t",false,false,true
749,1,"d d",true,true,true
679,1,"P P",true,true,true
631,1,"A A",true,true,true
751,1,"B B",true,true,true
739,1,"d d",true,true,true
688,1,"G g",false,false,true
696,1,"H H",true,true,true
767,1,"t t",true,true,true
610,1,"t l",false,false,true
597,1,"l l",true,false,false
913,1,"D F",false,true,false
666,1,"f f",true,true,true
756,1,"P Q",false,false,true
742,1,"b b",true,true,true
886,1,"E n",false,false,true
706,1,"P P",true,true,true
1093,1,"d d",true,true,true
566,1,"m P",false,false,true
602,1,"T m",false,false,true
579,1,"R L",false,false,true
